id,name,type,maintenance_responsibility,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
597222795,Bon Air Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Bon_Air_Park.jpg,Bon Air,4,18,42003562400,5,18,3,4-7,40.4075222,-79.99999487
79129285,Boundary Street Park,Park,Parks - Schenley,,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43852827,-79.95058888
1591249432,Brighton Heights Park,Park,Parks - Northern,,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.4855996,-80.02960586
286042466,Brighton Heights Healthy Active Living Center,Building Grounds,Parks - Northern,,Brighton Heights,1,27,42003270300,1,27,1,1-14,40.47929821,-80.03576122
485027123,Brookline Memorial Park,Park,Parks - Southern,,Brookline,4,32,42003320600,5,32,6,4-25,40.39004596,-80.00451498
1541097919,Brookline Monument,Monument/Memorial,4th Division,,Brookline,4,19,42003191800,5,19,6,4-26,40.39173824,-80.01711444
276671370,Bud Hammer Park,Park,Parks - Schenley,,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42095425,-79.94669546
1899722366,Buhl Community Park at Allegheny Square,Park,Parks - Northern,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45244695,-80.0058282
1398444262,Burgwin Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Burgwin_Park.jpg,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40444462,-79.93683426
1023513713,Catalano Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Catalano_Park.jpg,Spring Garden,1,24,42003241200,1,24,1,1-5,40.46027648,-79.9919523
29267618,Chadwick Park,Park,Parks - Northeast,,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.46548562,-79.89150182
708514774,Chartiers Park,Park,Parks - Western,,Windgap,2,28,42003563000,5,28,6,1-16,40.4569996,-80.07429276
712782057,Cobden Street Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41933769,-79.96819783
2113503545,Cowley Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Cowley_Park.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45868971,-79.98892443
149758095,Craft Triangle,Traffic Island/Median,3rd Division,,South Oakland,6,4,42003040900,3,4,4,2-14,40.43596074,-79.96189949
1938420516,Crafton Heights Park,Park,Parks - Western,,Westwood,2,28,42003563100,5,28,6,1-18,40.43618562,-80.05669426
1049783368,Cross and Strauss Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Cross_and_Strauss_Park.jpg,Perry South,6,26,42003261400,1,26,1,1-12,40.46507273,-80.02006439
354330044,Crosstown,Traffic Island/Median,6th Division,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44147649,-79.99392247
1026385297,Dallas Park,Park,Parks - Eastern,,Homewood West,9,12,42003120700,2,12,5,3-17,40.45787275,-79.90451219
564546832,Davis Park,Park,Parks - Eastern,,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43236453,-79.92495677
636955251,Denny Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Denny_Park.jpg,Strip District,7,6,42003020300,6,6,2,3-2,40.45791529,-79.97300942
358324227,Devlin Field Park,Park,Parks - Southern,,Arlington,3,16,42003561600,3,16,3,4-8,40.41363133,-79.96239682
529528940,Dinan Park,Park,Parks - Northeast,,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48334706,-79.93258116
809506879,Dunbar Park,Park,Parks - Western,,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43875027,-80.05238196
422120933,Duncan Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Duncan_Park.jpg,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48027054,-79.94836599
517114806,East Carnegie Park,Park,Parks - Western,,East Carnegie,2,28,42003562800,5,28,6,1-19,40.41464246,-80.07487648
1933090844,East Hills Park,Park,Parks - Eastern,,East Hills,9,13,42003130600,2,13,5,3-19,40.45322138,-79.87049295
210545055,East Liberty Park,Park,Parks - Eastern,,East Liberty,9,11,42003111500,2,11,5,3-10,40.46206529,-79.91874532
1479452830,East Liberty Blvd Strip,Traffic Island/Median,Parks - Northeast,,East Liberty,9,11,42003111500,2,11,5,3-10,40.46399299,-79.92002842
1828459271,Edgerton Circle,Traffic Island/Median,3rd Division,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.44788393,-79.91316708
303472511,Eleanor Street Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42140787,-79.97287912
1776238102,Emerald View Park - Grandview Park,Park,Parks - Western,,Allentown,3,18,42003180300,5,18,3,4-5,40.4265022,-79.99672317
1056960831,Emerald View Park - Bigbee Field Park,Park,Parks - Western,,Allentown,3,18,42003180300,5,18,3,4-5,40.42777444,-80.00137966
1061718486,Emerald View Park - Duquesne Heights Greenway,Open Space,Parks - Western,,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43330003,-80.02364176
495410073,Emerald View Park - Eileen McCoy Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Emerald_View_Park_-_Eileen_McCoy_Park.jpg,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43820153,-80.02448974
919254688,Emerald View Park - Grandview Overlook,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43290121,-80.00852095
255934841,Emerald View Park - Mt. Washington Park,Park,Parks - Western,,Mount Washington,2,19,42003191400,5,19,3,4-27,40.42280959,-80.01545509
983437605,Emerald View Park - Olympia Park,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-1,40.43099486,-80.01836069
1599043610,Emerald View Park - Ream Park,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43097353,-80.01324585
1783038748,Emerald View Park - Shiloh Street Park,Park,Parks - Western,,Mount Washington,2,19,42003191400,5,19,3,4-27,40.43141682,-80.00674163
1066215150,Enright Park,Park,Parks - Northeast,,East Liberty,9,8,42003111500,2,8,5,3-23,40.46188541,-79.9298333
1702828724,Esplen Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Esplen_Park.jpg,Esplen,2,20,42003562500,5,20,6,1-27,40.46071792,-80.050795
716530927,Fairywood Park,Park,Parks - Western,,Fairywood,2,28,42003563000,5,28,6,1-16,40.4490034,-80.0804927
947765952,Fifty-Seventh Street Park,Park,Parks - Northeast,,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48600025,-79.94645706
462614651,Fineview Field Park,Park,Parks - Northern,,Fineview,6,25,42003250900,1,25,1,1-10,40.4598171,-80.00422974
603502102,Fineview Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Fineview_Park.jpg,Fineview,1,25,42003250900,1,25,1,1-10,40.46185303,-80.00397011
1404890483,Fort Duquesne Blvd Strip,Traffic Island/Median,6th Division,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44375945,-80.00442178
1788836753,Fort Pitt Park,Park,Parks - Northeast,,Garfield,9,10,42003101700,2,10,5,3-4,40.46948025,-79.94286062
809676292,Four Mile Run Park,Park,Parks - Schenley,,Greenfield,5,15,42003151600,3,15,4,2-12,40.42755086,-79.94946848
1057506371,Fowler Park,Park,Parks - Northern,,Perry South,6,26,42003261400,1,26,1,1-23,40.47020188,-80.0099397
1514882068,Frank Curto Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Frank_Curto_Park.jpg,Strip District,7,2,42003020300,6,2,2,2-6,40.45121632,-79.97770769
1913574527,Frankstown Triangle 1 & 2,Traffic Island/Median,2nd Division,,Larimer,9,12,42003120800,2,12,5,3-10,40.46142816,-79.91561672
984641225,Frazier Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Frazier_Park.jpg,South Oakland,3,4,42003040900,3,4,4,2-11,40.42930297,-79.95480252
1948519895,Frick Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Frick_Park.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-20,40.42810207,-79.90652418
1424600619,Friendship Park,Park,Parks - Northeast,,Bloomfield,7,8,42003080900,2,8,5,3-6,40.462562,-79.94616121
1730609241,Gardner Park,Park,Parks - Northern,,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46169871,-79.98625964
148492759,Garland Park,Park,Parks - Northeast,,East Liberty,9,11,42003111500,2,11,5,3-8,40.46394917,-79.92763745
1261580004,Garvin Park,Park,Parks - Northern,,Perry North,1,26,42003260200,1,26,1,1-15,40.49254989,-80.01853913
504093825,Gladstone Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Gladstone_Park.jpg,Hazelwood,5,15,42003562300,3,15,4,2-12,40.41514649,-79.93860657
1957191796,Glen Arden Circle,Traffic Island/Median,3rd Division,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.44713999,-79.91312808
818763075,Glen Arden Triangle,Traffic Island/Median,3rd Division,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.44825576,-79.91187041
644894227,Grant Street Islands,Traffic Island/Median,6th Division,https://tools.wprdc.org/images/pittsburgh/parks/Grant_Street_Islands.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41134967,-80.01682612
494844494,Granville Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Granville_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44440558,-79.98288845
1264215460,Harris Triangle,Traffic Island/Median,3rd Division,,North Oakland,6,5,42003562000,3,5,4,2-23,40.45603992,-79.95477101
1505343578,Hays Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Hays_Park.jpg,Hays,5,31,42003562900,3,31,4,4-20,40.38339448,-79.93152605
1855575680,Hazelwood Healthy Active Living Center,Building Grounds,Parks - Eastern,,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4033965,-79.94269751
159173801,Herschel Park,Park,Parks - Western,,Elliott,2,20,42003562600,5,20,6,1-17,40.43946222,-80.04345514
1479387219,Heth's Park,Park,Parks - Northeast,,Highland Park,7,11,42003110200,2,11,5,3-7,40.47767489,-79.92766686
1792849335,Highland Ave Plant Strip,Traffic Island/Median,2nd Division,,East Liberty,9,11,42003111500,2,11,5,3-8,40.46583928,-79.92308113
1374250833,Highland Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Highland_Park.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.47889441,-79.91443522
1212017187,Homewood Park,Park,Parks - Eastern,,Homewood South,9,13,42003130300,2,13,5,3-17,40.45390633,-79.89981033
2071655328,Homewood Healthy Active Living Center,Building Grounds,Parks - Eastern,,Homewood North,9,13,42003130200,2,13,5,3-17,40.45688563,-79.89296068
995598318,Jail Triangle,Traffic Island/Median,6th Division,https://tools.wprdc.org/images/pittsburgh/parks/Jail_Triangle.jpg,Central Business District,6,1,42003020100,6,1,2,1-4,40.43816989,-79.99460277
677736163,Jefferson Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Jefferson_Park.jpg,Central Northside,6,25,42003250300,1,25,1,1-21,40.45908991,-80.01453182
789893248,Joe Natoli Park,Park,Parks - Northeast,,Morningside,7,10,42003101400,2,10,5,3-7,40.48382384,-79.92577658
1557245892,Kennard Park,Park,Parks - Schenley,,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44269574,-79.97346025
658279072,Kite Hill Park,Park,Parks - Northeast,,Garfield,9,11,42003111400,2,11,5,3-4,40.46700606,-79.93261822
359786802,Larimer Park,Park,Parks - Northeast,,Larimer,9,12,42003120400,2,12,5,3-12,40.4663881,-79.91309448
1902802741,Lawn and Ophelia Park,Park,Parks - Schenley,,South Oakland,6,4,42003040900,3,4,4,2-10,40.43543415,-79.96526185
1976961035,Le Roi Rd Island,Traffic Island/Median,3rd Division,https://tools.wprdc.org/images/pittsburgh/parks/Le_Roi_Rd_Island.jpg,Point Breeze,9,14,42003140600,3,14,4,3-14,40.44766271,-79.9040743
1992246196,Legion Memorial Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Legion_Memorial_Park.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48188282,-80.0347123
2029703175,Leister Street Park,Park,Parks - Northern,,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46212183,-79.99569252
139028095,Leolyn Park,Park,Parks - Southern,,Carrick,4,29,42003290200,3,29,3,4-12,40.39925237,-79.98589199
449003626,Leslie Park,Park,Parks - Northeast,,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47289785,-79.95755045
289174231,Lewis Park,Park,Parks - Eastern,,Hazelwood,5,15,42003562900,3,15,4,2-13,40.4128944,-79.94481042
234900984,Liberty Avenue Island,Traffic Island/Median,6th Division,https://tools.wprdc.org/images/pittsburgh/parks/Liberty_Avenue_Island.jpg,Central Business District,6,2,42003020100,6,2,2,1-3,40.44145396,-80.00499768
1098059984,Lincoln Place Park,Park,Parks - Eastern,,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36997505,-79.91742673
1461676131,Lodge Potenza Healthy Active Living Center,Building Grounds,Parks - Western,,Mount Washington,2,19,42003191400,5,19,3,4-27,40.4301351,-80.00796024
1595333980,Lookout Street Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Lookout_Street_Park.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46929339,-79.97693144
1119177163,Loraine St Park,Open Space,1st Division,,Central Northside,6,25,42003220600,1,25,1,1-6,40.45871619,-80.00649426
676260462,Magee Park,Park,Parks - Schenley,,Greenfield,5,15,42003151700,3,15,4,2-15,40.42521011,-79.93733765
1933985209,Manchester Park,Park,Parks - Northern,,Manchester,6,21,42003210700,1,21,1,1-8,40.45867217,-80.02545513
1016117282,Manchester School Park,Park,Parks - Northern,,Manchester,6,21,42003210700,1,21,1,1-8,40.45676217,-80.02489684
543596199,Market Square Park,Open Space,Parks - Northern,,Central Business District,6,1,42003020100,6,1,2,1-4,40.44068917,-80.00256423
572257490,Marmaduke Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Marmaduke_Park.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48464888,-80.04296573
1665484106,Marshall-California Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Marshall-California_Park.jpg,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,40.46251844,-80.03059421
614041173,Martin Luther King Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Martin_Luther_King_Park.jpg,Terrace Village,6,5,42003051100,3,5,2,2-1,40.43987194,-79.97385447
1006332761,McBride Park,Park,Parks - Eastern,,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.37029953,-79.9055486
2049400443,McCandless Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/McCandless_Park.jpg,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48078051,-79.95259923
1318913796,McGonigle Park,Park,Parks - Western,,Sheraden,2,20,42003202200,5,20,6,1-16,40.4592981,-80.06619909
1352109784,McKinley Park,Park,Parks - Southern,,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41283786,-80.00128661
25384660,McKnight Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/McKnight_Park.jpg,Manchester,6,21,42003210700,1,21,1,1-8,40.45199414,-80.02298989
373591278,McPherson Blvd Strip,Traffic Island/Median,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/McPherson_Blvd_Strip.jpg,Point Breeze North,9,14,42003140500,2,14,4,3-14,40.45493897,-79.9084514
1565122603,Mellon Park,Park,Parks - Eastern,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.4533552,-79.91686795
1113107138,Mellon Park Island,Traffic Island/Median,3rd Division,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45237433,-79.91532885
383659775,Mellon Square Park,Open Space,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Mellon_Square_Park.jpg,Central Business District,6,2,42003020100,6,2,2,1-4,40.44095751,-79.99746002
1940766525,Monitor St and St Phil Islands,Traffic Island/Median,3rd Division,https://tools.wprdc.org/images/pittsburgh/parks/Monitor_St_and_St_Phil_Islands.jpg,Squirrel Hill South,5,14,42003141400,3,14,4,2-21,40.42647171,-79.91914399
375307767,Monongahela Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.4216994,-79.96633324
964218237,Monongahela Wharf Landing Park,Park,Parks - Northern,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43743912,-80.00422742
177052962,Moore Park,Park,Parks - Southern,,Brookline,4,19,42003191700,5,19,6,4-26,40.40514609,-80.01349922
1541827179,Morrow Triangle Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Morrow_Triangle_Park.jpg,Bloomfield,7,8,42003080600,2,8,5,3-23,40.45656447,-79.93893686
2001007242,Mutual Park,Park,Parks - Western,,Sheraden,2,20,42003202200,5,20,6,1-16,40.45198505,-80.06416056
1821011939,N Euclid Ave Square,Traffic Island/Median,2nd Division,,East Liberty,9,11,42003111500,2,11,5,3-8,40.46262406,-79.9279042
1741699181,Negley Run Blvd,Traffic Island/Median,2nd Division,,East Liberty,9,11,42003111300,2,11,5,3-10,40.46687773,-79.91732206
1569935470,Negley Run Strip,Traffic Island/Median,2nd Division,,Larimer,9,11,42003120800,2,11,5,3-10,40.46618816,-79.918561
1063708324,Negley-Collins Triangle,Traffic Island/Median,2nd Division,,East Liberty,9,11,42003111300,2,11,5,3-8,40.46641494,-79.91885209
189207180,Nelson Mandela Peace Park,Park,Parks - Northeast,,Garfield,9,10,42003101700,2,10,5,3-4,40.46601648,-79.94065175
1185452095,Niagara Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Niagara_Park.jpg,South Oakland,3,4,42003040900,3,4,4,2-10,40.43471216,-79.96013725
309787733,Northshore Riverfront Park,Park,Parks - Northern,,North Shore,1,22,42003981200,6,22,1,1-7,40.44573292,-80.00964899
55889045,Oakland Square,Traffic Island/Median,3rd Division,https://tools.wprdc.org/images/pittsburgh/parks/Oakland_Square.jpg,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43709857,-79.95162886
1744187794,Oakwood Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Oakwood_Park.jpg,Oakwood,2,28,42003562800,5,28,6,1-19,40.42598177,-80.06614313
581560925,Oliver Bath House,Building Grounds,Parks - Southern,,South Side Flats,3,17,42003170200,3,17,3,4-2,40.42957618,-79.98887046
583639890,Ormsby Park,Park,Parks - Southern,,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42926411,-79.97413862
1665069146,Osceola Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Osceola_Park.jpg,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45671252,-79.94244175
794761479,Parkview Islands,Traffic Island/Median,3rd Division,https://tools.wprdc.org/images/pittsburgh/parks/Parkview_Islands.jpg,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43551844,-79.95191613
980255802,Paul J. Sciullo II Memorial Park,Park,Parks - Northeast,,Lower Lawrenceville,7,8,42003060300,2,8,2,3-1,40.46223612,-79.95453316
1572177418,Pauline Park,Park,Parks - Southern,,Beechview,4,19,42003192000,5,19,6,4-28,40.40457577,-80.02594638
1705952425,Paulson Park,Park,Parks - Northeast,,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46852417,-79.9001091
1625839115,Paulson Rec Center,Building Grounds,Parks - Northeast,,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.4682348,-79.90354219
83761989,Phillips Park,Park,Parks - Southern,,Carrick,4,29,42003290400,3,29,3,4-23,40.39089748,-79.99147515
1431908553,Polish Hill Monument,Monument/Memorial,2nd Division,,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45676849,-79.96731585
1747069661,Regent Square War Memorial,Monument/Memorial,3rd Division,,Regent Square,5,14,42003141000,3,14,4,2-16,40.43593471,-79.89589614
1043382575,Reynolds St Planting Circle,Traffic Island/Median,3rd Division,https://tools.wprdc.org/images/pittsburgh/parks/Reynolds_St_Planting_Circle.jpg,Point Breeze,9,14,42003140600,3,14,4,3-14,40.44644691,-79.90325173
536526140,Riverview Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Riverview_Park.jpg,Perry North,1,26,42003980400,1,26,1,1-15,40.48291081,-80.01959641
341513644,Robert E. Williams Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Robert_E._Williams_Park.jpg,Upper Hill,6,5,42003050600,3,5,2,2-22,40.4547436,-79.95879776
867273457,Roland Lockridge Community Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Roland_Lockridge_Community_Park.jpg,New Homestead,5,31,42003310300,3,31,4,4-20,40.39393226,-79.92073577
1908532134,S Euclid Ave Triangle,Traffic Island/Median,2nd Division,,East Liberty,9,8,42003111500,2,8,5,3-8,40.46249202,-79.92804159
1407327460,Saline St Passive Area,Traffic Island/Median,3rd Division,,Squirrel Hill South,5,15,42003151700,3,15,4,2-12,40.41938993,-79.92640238
985054965,Saline Street Green Space,Open Space,3rd Division,,Greenfield,5,14,42003980500,3,14,4,2-12,40.4295289,-79.93970034
1881425039,Schenley Park,Park,Parks - Schenley,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43554408,-79.94297832
433489227,Scherer Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Scherer_Park.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46660498,-79.99962617
90818564,Shalane's Play Yard Park,Park,Parks - Schenley,,West Oakland,6,4,42003040200,3,4,4,2-10,40.44255365,-79.96488504
1213681437,Sheraden Monument,Monument/Memorial,5th Division,,Sheraden,2,20,42003562500,5,20,6,1-16,40.45352989,-80.05426828
1064478922,Sheraden Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Sheraden_Park.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.45865116,-80.05978566
940910466,Sheraden Healthy Active Living Center,Building Grounds,Parks - Western,,Sheraden,2,20,42003562500,5,20,6,1-16,40.45512448,-80.05663697
63657321,Southside Market House,Building Grounds,Parks - Southern,,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42943277,-79.9864446
353743875,Southside Park,Park,Parks - Southern,,South Side Slopes,3,17,42003160800,3,17,3,4-22,40.42095095,-79.97741194
817955583,Southside Riverfront Park,Park,Parks - Southern,,South Side Flats,3,16,42003160900,3,16,3,4-24,40.43138621,-79.97246543
1768633106,Spring Garden Park,Park,Parks - Northern,,Spring Garden,1,24,42003241200,1,24,1,1-24,40.4656749,-79.98576888
1378523824,Spring Hill Park,Park,Parks - Northern,,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.47023127,-79.99238443
1917616764,Andrew Joseph Kukuruda Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Andrew_Joseph_Kukuruda_Park.jpg,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43949317,-80.05610334
68102633,Sullivan Park,Park,Parks - Northeast,,Lower Lawrenceville,7,6,42003060300,2,6,2,3-6,40.46258823,-79.96325374
219157854,Swisshelm Park,Park,Parks - Eastern,,Swisshelm Park,5,14,42003141100,3,14,4,2-19,40.42103461,-79.90188285
571208483,Swisshelm War Memorial,Monument/Memorial,3rd Division,,Swisshelm Park,5,14,42003141100,3,14,4,2-19,40.42071477,-79.8998367
1446434219,Thomas Blvd Planting Strip,Traffic Island/Median,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Thomas_Blvd_Planting_Strip.jpg,Point Breeze North,9,14,42003140500,2,14,4,3-14,40.45405929,-79.90914102
